pmt_id,txn_ref,pmt_method,pmt_status,pmt_amt_pence,processed_at,_batched_at
900069,500081,standing_order,failed,23913,2025-09-01 22:28:00,2026-08-10 23:00:00
900070,500058,direct_debit,COMPLETED,39427,2025-09-06 04:58:00,2026-08-10 18:00:00
900071,500343,bank_transfer,refunded,21356,2025-08-11 08:02:00,2026-08-10 18:00:00
900072,500357,card,refunded,35547,2026-04-28 12:34:00,2026-08-10 15:00:00
900073,500445,direct_debit,pending,16418,2026-01-27 03:22:00,2026-08-10 23:00:00
900074,500427,standing_order,pending,43074,2026-01-14 20:58:00,2026-08-10 15:00:00
900075,500124,card,completed,20926,2026-01-13 20:56:00,2026-08-10 23:00:00
900076,500233,bank_transfer,completed,36819,2026-01-11 23:11:00,2026-08-10 23:00:00
900077,500012,bank_transfer,completed,19949,2026-01-05 15:44:00,2026-08-10 14:00:00
900078,500392,direct_debit,completed,17151,2026-07-29 19:29:00,2026-08-10 20:00:00
900079,500056,bank_transfer,completed,29119,2025-12-28 03:33:00,2026-08-10 15:00:00
900080,500313,standing_order,pending,19259,2025-11-02 03:00:00,2026-08-10 22:00:00
900081,500043,direct_debit,COMPLETED,29870,2025-12-24 03:34:00,2026-08-10 19:00:00
900082,500327,card,failed,26402,2025-07-08 07:52:00,2026-08-10 15:00:00
900083,500154,card,COMPLETED,34142,2025-08-01 18:57:00,2026-08-10 15:00:00
900084,500335,bank_transfer,completed,31913,2025-07-07 22:38:00,2026-08-10 21:00:00
900085,500515,direct_debit,COMPLETED,20852,2026-08-09 00:19:00,2026-08-10 22:00:00
900086,500227,bank_transfer,failed,43447,2026-02-01 02:49:00,2026-08-10 16:00:00
900087,500157,direct_debit,completed,19654,2026-04-06 22:25:00,2026-08-10 16:00:00
900088,500052,card,completed,43229,2026-08-08 01:05:00,2026-08-10 23:00:00
900089,500403,standing_order,completed,41666,2025-07-17 09:52:00,2026-08-10 21:00:00
900090,500498,bank_transfer,completed,14757,2025-09-13 07:27:00,2026-08-10 18:00:00
900091,500229,card,refunded,20903,2025-08-12 05:51:00,2026-08-10 16:00:00
900092,500386,card,refunded,16690,2026-05-14 21:09:00,2026-08-10 12:00:00
900093,500305,card,completed,34481,2026-07-29 01:09:00,2026-08-10 19:00:00
900094,500295,standing_order,COMPLETED,940,2025-11-30 15:22:00,2026-08-10 20:00:00
900095,500259,bank_transfer,completed,19643,2025-12-19 23:49:00,2026-08-10 17:00:00
900096,500047,bank_transfer,refunded,3521,2025-09-05 10:05:00,2026-08-10 18:00:00
900097,500114,standing_order,completed,44653,2026-01-28 16:58:00,2026-08-10 22:00:00
900098,500222,card,completed,26252,2026-03-05 12:47:00,2026-08-10 16:00:00
900099,500149,direct_debit,completed,1896,2026-03-08 12:05:00,2026-08-10 18:00:00
900100,500512,card,completed,31746,2026-07-19 18:27:00,2026-08-10 12:00:00
900101,500202,bank_transfer,failed,14372,2025-07-17 19:14:00,2026-08-10 13:00:00
900102,500076,bank_transfer,failed,41495,2026-01-13 23:17:00,2026-08-10 16:00:00
900103,500068,standing_order,COMPLETED,37094,2025-07-13 07:29:00,2026-08-10 14:00:00
900104,500173,direct_debit,completed,21752,2026-01-28 00:32:00,2026-08-10 17:00:00
900105,500520,bank_transfer,COMPLETED,36232,2026-04-23 16:35:00,2026-08-10 12:00:00
900106,500244,standing_order,failed,31557,2026-02-01 05:32:00,2026-08-10 18:00:00
900107,500293,direct_debit,COMPLETED,19918,2025-08-25 21:06:00,2026-08-10 13:00:00
900108,500382,standing_order,completed,32183,2026-06-08 12:59:00,2026-08-10 14:00:00
900109,500026,bank_transfer,failed,15537,2026-07-25 02:29:00,2026-08-10 22:00:00
900110,500281,direct_debit,completed,6675,2026-02-18 11:12:00,2026-08-10 17:00:00
900111,500205,card,pending,42664,2026-02-27 23:36:00,2026-08-10 14:00:00
900112,500135,bank_transfer,completed,22784,2025-08-10 14:14:00,2026-08-10 13:00:00
900113,500044,card,COMPLETED,10153,2026-01-04 21:18:00,2026-08-10 21:00:00
900114,500490,direct_debit,pending,35518,2026-07-23 07:44:00,2026-08-10 21:00:00
900115,500257,bank_transfer,completed,30136,2025-11-12 04:37:00,2026-08-10 14:00:00
900116,500542,direct_debit,COMPLETED,25016,2025-08-26 10:00:00,2026-08-10 13:00:00
900117,500397,bank_transfer,failed,30543,2026-02-24 05:44:00,2026-08-10 13:00:00
900118,500358,standing_order,pending,25899,2026-03-21 05:45:00,2026-08-10 18:00:00
900119,500067,card,failed,39628,2026-06-20 07:44:00,2026-08-10 15:00:00
900120,500533,direct_debit,refunded,14592,2026-06-14 19:56:00,2026-08-10 19:00:00
900121,500070,bank_transfer,failed,5012,2026-03-23 13:57:00,2026-08-10 23:00:00
900122,500583,bank_transfer,completed,42392,2025-07-18 04:57:00,2026-08-10 19:00:00
900123,500287,direct_debit,completed,6862,2026-07-05 20:36:00,2026-08-10 12:00:00
900124,500102,bank_transfer,pending,30599,2025-09-17 21:07:00,2026-08-10 17:00:00
900125,500250,standing_order,completed,31799,2026-02-18 13:10:00,2026-08-10 15:00:00
900126,500203,direct_debit,completed,12603,2026-02-22 18:02:00,2026-08-10 21:00:00
900127,500334,standing_order,refunded,35779,2025-09-16 08:45:00,2026-08-10 18:00:00
900128,500494,direct_debit,completed,15337,2026-02-11 04:46:00,2026-08-10 13:00:00
900129,500101,direct_debit,completed,3055,2025-10-17 17:12:00,2026-08-10 22:00:00
900130,500288,direct_debit,pending,8875,2026-03-10 22:36:00,2026-08-10 16:00:00
900131,500316,direct_debit,completed,20303,2025-07-20 10:36:00,2026-08-10 21:00:00
900132,500377,standing_order,refunded,39797,2025-12-29 19:43:00,2026-08-10 12:00:00
900133,500269,direct_debit,completed,28012,2025-08-09 16:26:00,2026-08-10 15:00:00
900134,500127,standing_order,completed,14926,2026-05-21 01:40:00,2026-08-10 18:00:00
900135,500125,direct_debit,completed,36280,2025-08-28 12:38:00,2026-08-10 14:00:00
900136,500037,standing_order,refunded,33785,2026-07-09 09:32:00,2026-08-10 12:00:00
900137,500137,bank_transfer,completed,40479,2026-06-24 05:42:00,2026-08-10 15:00:00
900138,500398,card,completed,40825,2026-07-16 02:23:00,2026-08-10 14:00:00
900139,500221,bank_transfer,completed,5022,2025-08-23 19:30:00,2026-08-10 14:00:00
900140,500166,card,COMPLETED,11623,2025-07-30 14:06:00,2026-08-10 12:00:00
900141,500351,bank_transfer,completed,4592,2026-08-08 11:47:00,2026-08-10 15:00:00
900142,500507,card,COMPLETED,39526,2025-12-08 05:46:00,2026-08-10 16:00:00
900143,500046,bank_transfer,failed,27072,2025-10-27 16:39:00,2026-08-10 23:00:00
900144,500568,card,completed,10850,2026-01-14 02:33:00,2026-08-10 16:00:00
900145,500344,standing_order,failed,34641,2025-08-18 13:11:00,2026-08-10 12:00:00
900146,500212,standing_order,completed,749,2025-09-24 11:56:00,2026-08-10 19:00:00
900147,500217,direct_debit,completed,30230,2026-01-21 11:37:00,2026-08-10 12:00:00
900148,500188,bank_transfer,completed,35830,2026-08-11 14:41:00,2026-08-10 13:00:00
900149,500179,direct_debit,failed,7503,2025-08-18 01:56:00,2026-08-10 23:00:00
900150,500536,card,completed,44918,2026-04-22 19:43:00,2026-08-10 16:00:00
900151,500165,direct_debit,failed,6012,2026-03-17 14:57:00,2026-08-10 22:00:00
900152,500177,bank_transfer,COMPLETED,31006,2025-10-06 00:34:00,2026-08-10 14:00:00
900153,500508,bank_transfer,refunded,22607,2025-09-08 19:44:00,2026-08-10 19:00:00
900154,500336,card,failed,14503,2026-03-25 20:59:00,2026-08-10 21:00:00
900155,500013,standing_order,completed,19540,2026-04-12 07:24:00,2026-08-10 21:00:00
900156,500395,direct_debit,completed,36786,2026-06-23 18:52:00,2026-08-10 21:00:00
900157,500514,card,completed,616,2025-11-08 06:44:00,2026-08-10 22:00:00
900158,500087,direct_debit,refunded,34717,2025-07-14 09:11:00,2026-08-10 16:00:00
900159,500180,standing_order,COMPLETED,34251,2025-11-12 00:50:00,2026-08-10 13:00:00
900160,500470,direct_debit,COMPLETED,17100,2026-07-07 14:08:00,2026-08-10 14:00:00
900161,500421,card,pending,43623,2025-07-20 20:00:00,2026-08-10 19:00:00
900162,500597,card,COMPLETED,17570,2026-02-03 16:57:00,2026-08-10 16:00:00
900163,500516,standing_order,completed,35284,2026-01-06 07:23:00,2026-08-10 16:00:00
900164,500320,direct_debit,completed,20794,2025-09-08 16:45:00,2026-08-10 13:00:00
900165,500075,standing_order,completed,10553,2025-12-31 11:27:00,2026-08-10 21:00:00
900166,500226,standing_order,completed,29677,2026-02-27 19:20:00,2026-08-10 19:00:00
900167,500560,standing_order,pending,25698,2025-10-01 05:55:00,2026-08-10 18:00:00
900168,500419,card,completed,3432,2026-04-17 05:42:00,2026-08-10 15:00:00
900169,500120,standing_order,failed,19807,2026-07-10 04:26:00,2026-08-10 13:00:00
900170,500103,bank_transfer,completed,30144,2026-05-11 06:56:00,2026-08-10 19:00:00
900171,500460,bank_transfer,pending,12200,2025-08-14 02:27:00,2026-08-10 14:00:00
900172,500192,standing_order,refunded,14388,2026-07-21 14:32:00,2026-08-10 13:00:00
900173,500541,direct_debit,failed,11605,2025-11-09 05:28:00,2026-08-10 18:00:00
900174,500388,bank_transfer,failed,24675,2026-06-20 23:28:00,2026-08-10 23:00:00
900175,500373,card,completed,31151,2026-01-26 05:29:00,2026-08-10 17:00:00
900176,500488,card,pending,41216,2026-05-31 19:48:00,2026-08-10 16:00:00
900177,500457,direct_debit,pending,18441,2025-11-22 17:36:00,2026-08-10 19:00:00
900178,500379,direct_debit,completed,26586,2026-05-23 06:41:00,2026-08-10 23:00:00
900179,500028,card,failed,43070,2025-07-26 12:51:00,2026-08-10 13:00:00
900180,500466,card,pending,6438,2025-09-12 21:40:00,2026-08-10 22:00:00
900181,500318,direct_debit,completed,24561,2026-04-14 19:34:00,2026-08-10 13:00:00
900182,500499,card,pending,39747,2026-02-16 08:10:00,2026-08-10 21:00:00
900183,500148,bank_transfer,completed,24290,2025-10-27 23:30:00,2026-08-10 13:00:00
900184,500008,standing_order,completed,28375,2026-02-26 08:42:00,2026-08-10 17:00:00
900185,500176,bank_transfer,COMPLETED,8903,2026-03-14 06:21:00,2026-08-10 22:00:00
900186,500356,card,completed,28605,2026-07-27 22:19:00,2026-08-10 17:00:00
900187,500439,card,completed,26968,2026-05-20 03:52:00,2026-08-10 19:00:00
900188,500057,standing_order,completed,18712,2025-11-22 19:38:00,2026-08-10 16:00:00
900189,500444,standing_order,COMPLETED,6936,2025-10-19 20:14:00,2026-08-10 13:00:00
900190,500231,card,COMPLETED,26891,2026-01-05 00:25:00,2026-08-10 15:00:00
900191,500242,direct_debit,failed,19242,2025-08-05 17:15:00,2026-08-10 13:00:00
900192,500558,standing_order,pending,11088,2025-07-26 15:13:00,2026-08-10 19:00:00
900193,500170,card,completed,22242,2026-04-01 15:49:00,2026-08-10 22:00:00
900194,500108,standing_order,completed,34181,2025-08-22 17:37:00,2026-08-10 16:00:00
900195,500586,card,completed,32268,2025-08-15 05:25:00,2026-08-10 13:00:00
900196,500276,bank_transfer,COMPLETED,27296,2026-06-01 07:20:00,2026-08-10 12:00:00
900197,500109,standing_order,failed,19402,2026-01-03 23:08:00,2026-08-10 23:00:00
900198,500105,standing_order,completed,42545,2025-11-08 02:44:00,2026-08-10 17:00:00
900199,500280,card,failed,37252,2026-03-20 17:25:00,2026-08-10 20:00:00
900200,500268,standing_order,pending,35743,2025-11-22 21:24:00,2026-08-10 16:00:00
900201,500579,bank_transfer,completed,3563,2025-12-07 19:41:00,2026-08-10 13:00:00
900202,500133,standing_order,completed,26763,2026-03-10 23:45:00,2026-08-10 13:00:00
900203,500491,bank_transfer,failed,8924,2026-04-18 17:14:00,2026-08-10 18:00:00
900204,500248,standing_order,refunded,38723,2026-01-31 22:31:00,2026-08-10 19:00:00
900205,500319,direct_debit,failed,41910,2026-06-29 07:54:00,2026-08-10 23:00:00
900206,500374,direct_debit,completed,44767,2026-03-24 13:51:00,2026-08-10 12:00:00
900207,500073,card,pending,31320,2025-10-24 05:48:00,2026-08-10 12:00:00
900208,500415,standing_order,completed,13240,2026-06-15 18:29:00,2026-08-10 13:00:00
900209,500483,direct_debit,COMPLETED,38434,2025-12-25 22:21:00,2026-08-10 23:00:00
900210,500530,card,pending,4893,2026-05-14 11:28:00,2026-08-10 14:00:00
900211,500010,standing_order,completed,16794,2025-10-18 02:46:00,2026-08-10 22:00:00
900212,500193,bank_transfer,completed,44225,2025-08-04 03:40:00,2026-08-10 15:00:00
900213,500299,card,completed,13466,2026-07-02 00:55:00,2026-08-10 18:00:00
900214,500340,bank_transfer,refunded,37053,2025-08-17 20:24:00,2026-08-10 12:00:00
900215,500270,standing_order,completed,5850,2026-07-25 15:44:00,2026-08-10 20:00:00
900216,500434,standing_order,pending,6106,2026-01-14 17:25:00,2026-08-10 15:00:00
900217,500131,direct_debit,completed,42822,2026-07-18 23:11:00,2026-08-10 23:00:00
900218,500088,standing_order,pending,42170,2025-10-06 14:05:00,2026-08-10 23:00:00
900219,500031,card,COMPLETED,6157,2026-05-08 09:06:00,2026-08-10 12:00:00
900220,500146,card,COMPLETED,33934,2025-12-12 00:31:00,2026-08-10 13:00:00
900221,500431,bank_transfer,refunded,14745,2026-04-09 20:43:00,2026-08-10 22:00:00
900222,500529,direct_debit,refunded,29953,2026-03-25 03:22:00,2026-08-10 14:00:00
900223,500317,card,completed,6246,2025-12-03 07:51:00,2026-08-10 16:00:00
900224,500567,card,refunded,15302,2026-08-07 15:09:00,2026-08-10 20:00:00
900225,500422,bank_transfer,refunded,6241,2025-12-31 11:43:00,2026-08-10 12:00:00
900226,500593,bank_transfer,completed,7165,2026-06-07 22:05:00,2026-08-10 13:00:00
900227,500447,direct_debit,completed,13893,2025-08-01 04:20:00,2026-08-10 20:00:00
900228,500005,direct_debit,completed,32128,2026-03-01 09:15:00,2026-08-10 22:00:00
900229,500035,bank_transfer,COMPLETED,8787,2026-05-14 12:18:00,2026-08-10 17:00:00
900230,500199,bank_transfer,failed,25605,2026-01-12 08:25:00,2026-08-10 21:00:00
900231,500339,direct_debit,failed,23663,2026-05-17 03:45:00,2026-08-10 23:00:00
900232,500469,card,refunded,4950,2025-12-18 19:39:00,2026-08-10 13:00:00
900233,500387,direct_debit,completed,30735,2026-02-01 13:31:00,2026-08-10 16:00:00
900234,500338,card,completed,3814,2026-04-06 13:45:00,2026-08-10 21:00:00
900235,500599,bank_transfer,completed,41131,2026-05-04 19:18:00,2026-08-10 12:00:00
900236,500522,direct_debit,COMPLETED,40063,2026-07-12 04:46:00,2026-08-10 21:00:00
900237,500390,standing_order,completed,12494,2025-09-10 12:03:00,2026-08-10 20:00:00
900238,500150,card,failed,3515,2025-09-10 04:24:00,2026-08-10 21:00:00
900239,500540,card,pending,37942,2026-05-11 23:43:00,2026-08-10 19:00:00
900240,500198,standing_order,completed,30494,2026-04-19 11:06:00,2026-08-10 15:00:00
900241,500119,direct_debit,completed,29320,2026-07-05 16:49:00,2026-08-10 15:00:00
900242,500195,bank_transfer,refunded,44632,2025-10-12 13:02:00,2026-08-10 15:00:00
900243,500582,direct_debit,completed,6140,2025-07-15 14:45:00,2026-08-10 13:00:00
900244,500051,bank_transfer,completed,18059,2025-09-09 04:43:00,2026-08-10 20:00:00
900245,500594,direct_debit,pending,32256,2025-10-22 18:07:00,2026-08-10 16:00:00
900246,500249,direct_debit,COMPLETED,5776,2026-08-01 00:54:00,2026-08-10 13:00:00
900247,500306,card,pending,37301,2025-12-20 13:37:00,2026-08-10 18:00:00
900248,500273,direct_debit,completed,19328,2025-11-10 07:40:00,2026-08-10 19:00:00
900249,500458,standing_order,completed,10295,2025-10-17 11:00:00,2026-08-10 22:00:00
900250,500096,direct_debit,COMPLETED,41565,2026-06-15 15:22:00,2026-08-10 23:00:00
900251,500477,card,completed,35352,2026-07-23 14:24:00,2026-08-10 20:00:00
900252,500486,bank_transfer,completed,30483,2025-08-30 09:39:00,2026-08-10 20:00:00
900253,500235,direct_debit,refunded,5191,2026-01-02 09:34:00,2026-08-10 22:00:00
900254,500471,direct_debit,completed,44275,2026-01-17 04:40:00,2026-08-10 20:00:00
900255,500409,direct_debit,completed,8748,2026-01-19 04:46:00,2026-08-10 20:00:00
900256,500021,standing_order,failed,26194,2026-04-17 12:14:00,2026-08-10 16:00:00
900257,500467,standing_order,COMPLETED,14120,2026-07-09 00:18:00,2026-08-10 20:00:00
900258,500550,direct_debit,completed,36873,2025-07-28 00:44:00,2026-08-10 18:00:00
900259,500414,standing_order,pending,7025,2025-10-04 19:52:00,2026-08-10 20:00:00
900260,500600,bank_transfer,COMPLETED,30212,2026-06-19 01:24:00,2026-08-10 18:00:00
900261,500251,card,pending,19828,2025-08-06 18:32:00,2026-08-10 14:00:00
900262,500537,bank_transfer,COMPLETED,15171,2025-07-31 00:05:00,2026-08-10 22:00:00
900263,500532,standing_order,completed,30221,2025-12-09 04:12:00,2026-08-10 21:00:00
900264,500364,direct_debit,completed,36430,2025-11-08 06:12:00,2026-08-10 14:00:00
900265,500538,direct_debit,failed,44440,2025-07-09 17:53:00,2026-08-10 15:00:00
900266,500181,card,completed,29345,2025-10-17 14:55:00,2026-08-10 15:00:00
900267,500182,direct_debit,failed,30452,2026-01-13 00:24:00,2026-08-10 16:00:00
900268,500321,bank_transfer,completed,9070,2026-03-27 04:56:00,2026-08-10 12:00:00
900269,500155,direct_debit,COMPLETED,20712,2026-02-27 09:30:00,2026-08-10 18:00:00
900270,500121,direct_debit,failed,15664,2026-04-21 04:48:00,2026-08-10 21:00:00
900271,500349,standing_order,completed,6972,2026-03-01 05:46:00,2026-08-10 23:00:00
900272,500551,card,completed,39837,2026-01-15 09:38:00,2026-08-10 15:00:00
900273,500032,standing_order,refunded,13598,2026-02-23 19:52:00,2026-08-10 12:00:00
900274,500362,standing_order,completed,3074,2026-02-03 00:37:00,2026-08-10 20:00:00
900275,500132,card,pending,32789,2025-10-22 21:21:00,2026-08-10 12:00:00
900276,500371,direct_debit,COMPLETED,38336,2026-01-13 00:51:00,2026-08-10 18:00:00
900277,500016,direct_debit,pending,9113,2025-07-21 14:11:00,2026-08-10 22:00:00
900278,500285,standing_order,pending,31398,2026-06-25 04:54:00,2026-08-10 19:00:00
900279,500144,standing_order,refunded,22372,2026-06-23 08:37:00,2026-08-10 14:00:00
900280,500116,standing_order,completed,16508,2026-02-04 15:40:00,2026-08-10 21:00:00
900281,500078,direct_debit,refunded,5491,2025-09-10 08:05:00,2026-08-10 18:00:00
900282,500175,card,refunded,33083,2026-06-13 21:41:00,2026-08-10 13:00:00
900283,500370,standing_order,pending,38657,2025-12-20 09:10:00,2026-08-10 18:00:00
900284,500071,card,completed,42398,2026-07-15 08:07:00,2026-08-10 17:00:00
900285,500045,direct_debit,refunded,24571,2026-06-30 08:33:00,2026-08-10 13:00:00
900286,500196,bank_transfer,pending,34521,2026-02-15 14:18:00,2026-08-10 23:00:00
900287,500267,bank_transfer,completed,37220,2025-11-11 08:50:00,2026-08-10 22:00:00
900288,500117,bank_transfer,completed,36959,2025-08-01 20:29:00,2026-08-10 14:00:00
900289,500214,bank_transfer,completed,27107,2025-12-05 06:00:00,2026-08-10 21:00:00
900290,500526,card,failed,5841,2026-04-13 04:00:00,2026-08-10 12:00:00
900291,500294,direct_debit,completed,15835,2026-01-23 17:19:00,2026-08-10 20:00:00
900292,500079,card,pending,39146,2025-09-11 23:18:00,2026-08-10 16:00:00
900293,500219,direct_debit,completed,769,2026-01-30 09:30:00,2026-08-10 18:00:00
900294,500552,standing_order,completed,32098,2026-03-19 23:40:00,2026-08-10 23:00:00
900295,500169,bank_transfer,completed,7532,2026-06-03 16:31:00,2026-08-10 16:00:00
900296,500230,card,completed,17829,2026-06-28 14:41:00,2026-08-10 12:00:00
900297,500278,bank_transfer,completed,6254,2025-12-07 10:23:00,2026-08-10 14:00:00
900298,500511,card,COMPLETED,35492,2025-12-09 02:52:00,2026-08-10 16:00:00
900299,500106,card,completed,18055,2025-07-08 10:05:00,2026-08-10 21:00:00
900300,500378,card,completed,31899,2025-12-29 06:02:00,2026-08-10 21:00:00
900301,500298,card,pending,26513,2025-08-12 19:11:00,2026-08-10 21:00:00
900302,500304,direct_debit,refunded,17763,2026-02-04 11:13:00,2026-08-10 20:00:00
900303,500104,card,completed,2896,2026-05-02 17:10:00,2026-08-10 17:00:00
900304,500301,direct_debit,completed,16172,2026-01-01 22:06:00,2026-08-10 18:00:00
900305,500557,standing_order,pending,43536,2026-05-11 05:52:00,2026-08-10 13:00:00
900306,500468,bank_transfer,COMPLETED,28673,2026-06-18 20:26:00,2026-08-10 22:00:00
900307,500480,direct_debit,refunded,4943,2025-07-22 09:31:00,2026-08-10 15:00:00
900308,500462,standing_order,failed,31270,2026-03-15 12:12:00,2026-08-10 18:00:00
900309,500436,standing_order,failed,36860,2026-07-16 10:06:00,2026-08-10 13:00:00
900310,500290,standing_order,completed,27131,2025-08-09 13:20:00,2026-08-10 19:00:00
900311,500367,bank_transfer,COMPLETED,11105,2025-07-20 02:49:00,2026-08-10 19:00:00
900312,500163,standing_order,completed,31109,2026-04-15 04:54:00,2026-08-10 19:00:00
900313,500372,direct_debit,completed,18899,2026-06-17 12:11:00,2026-08-10 19:00:00
900314,500286,direct_debit,failed,22666,2025-08-29 21:00:00,2026-08-10 21:00:00
900315,500353,bank_transfer,COMPLETED,31573,2026-02-01 09:26:00,2026-08-10 21:00:00
900316,500061,direct_debit,COMPLETED,30280,2026-01-19 20:58:00,2026-08-10 22:00:00
900317,500544,bank_transfer,failed,27933,2025-10-01 19:37:00,2026-08-10 21:00:00
900318,500289,bank_transfer,completed,10905,2025-11-14 15:00:00,2026-08-10 21:00:00
