txn_id,acct_no,txn_amt_pence,txn_ccy,txn_type,txn_ts,merchant_nm,mcc_code,_loaded_at
500170,1083,-22242,USD,card_purchase,2026-04-01 01:49:00,Uber,7736,2026-08-10 20:00:00
500171,1023,-28179,USD,card_purchase,2025-10-02 03:03:00,Deliveroo,6754,2026-08-10 22:00:00
500172,1052,31440,EUR,refund,2025-09-02 20:49:00,Netflix,6427,2026-08-10 23:00:00
500173,1034,-21752,GBP,transfer_out,2026-01-26 16:32:00,,,2026-08-10 19:00:00
500174,1075,-23713,GBP,card_purchase,2025-08-05 06:00:00,Spotify,6378,2026-08-10 23:00:00
500175,1086,-33083,GBP,card_purchase,2026-06-11 09:41:00,Spotify,6684,2026-08-10 22:00:00
500176,1082,-8903,GBP,card_purchase,2026-03-12 12:21:00,TfL,6038,2026-08-10 16:00:00
500177,1096,-31006,USD,transfer_out,2025-10-04 12:34:00,,,2026-08-10 20:00:00
500178,1098,5515,EUR,transfer_in,2026-04-06 02:12:00,,,2026-08-10 16:00:00
500179,1068,-7503,GBP,direct_debit,2025-08-15 12:56:00,Tesco,7654,2026-08-10 20:00:00
500180,1074,-34251,EUR,card_purchase,2025-11-09 19:50:00,TfL,5887,2026-08-10 20:00:00
500181,1092,-29345,GBP,direct_debit,2025-10-16 08:55:00,Tesco,7268,2026-08-10 21:00:00
500182,1066,-30452,USD,card_purchase,2026-01-10 09:24:00,John Lewis,6673,2026-08-10 23:00:00
500183,1051,-4936,GBP,card_purchase,2026-04-02 23:13:00,Tesco,7146,2026-08-10 18:00:00
500184,1090,-4673,GBP,direct_debit,2026-07-09 06:57:00,TfL,5540,2026-08-10 19:00:00
500185,1053,42478,GBP,transfer_in,2026-05-10 19:11:00,,,2026-08-10 17:00:00
500186,1048,-24889,GBP,direct_debit,2026-01-27 09:05:00,Sainsburys,5739,2026-08-10 21:00:00
500187,1084,25909,GBP,refund,2026-02-13 20:49:00,Deliveroo,5932,2026-08-10 20:00:00
500188,1107,-35830,EUR,card_purchase,2026-08-09 23:41:00,Sainsburys,7589,2026-08-10 17:00:00
500189,1106,-18214,GBP,card_purchase,2026-04-15 16:31:00,Pret A Manger,5873,2026-08-10 23:00:00
500190,1104,-1175,EUR,transfer_out,2025-09-06 10:21:00,,,2026-08-10 20:00:00
500191,1027,-39326,EUR,card_purchase,2026-07-07 20:22:00,John Lewis,5610,2026-08-10 20:00:00
500192,1095,-14388,USD,card_purchase,2026-07-19 11:32:00,Tesco,5984,2026-08-10 19:00:00
500193,1030,44225,EUR,transfer_in,2025-08-01 05:40:00,,,2026-08-10 18:00:00
500194,1031,-27253,GBP,card_purchase,2026-03-09 19:18:00,Uber,6538,2026-08-10 23:00:00
500195,1072,-44632,EUR,card_purchase,2025-10-12 00:02:00,Sainsburys,7687,2026-08-10 16:00:00
500196,1007,-34521,EUR,card_purchase,2026-02-15 03:18:00,Netflix,7116,2026-08-10 17:00:00
500197,1020,-31182,GBP,transfer_out,2026-03-10 11:49:00,,,2026-08-10 20:00:00
500198,1109,-30494,GBP,transfer_out,2026-04-17 14:06:00,,,2026-08-10 23:00:00
500199,1072,-25605,EUR,card_purchase,2026-01-11 10:25:00,Pret A Manger,6455,2026-08-10 20:00:00
500200,1043,-24468,GBP,card_purchase,2025-09-13 21:01:00,Amazon UK,7604,2026-08-10 20:00:00
500201,1007,2741,EUR,transfer_in,2026-03-26 11:17:00,,,2026-08-10 22:00:00
500202,1025,-14372,EUR,transfer_out,2025-07-17 05:14:00,,,2026-08-10 16:00:00
500203,1027,-12603,EUR,card_purchase,2026-02-21 14:02:00,Spotify,5891,2026-08-10 16:00:00
500204,1118,-26143,USD,transfer_out,2026-04-08 01:22:00,,,2026-08-10 20:00:00
500205,1071,-42664,GBP,card_purchase,2026-02-27 14:36:00,Netflix,6674,2026-08-10 19:00:00
500206,1047,-30918,EUR,card_purchase,2025-11-21 08:31:00,Netflix,6243,2026-08-10 18:00:00
500207,1041,-9713,USD,direct_debit,2026-01-11 22:24:00,Tesco,6479,2026-08-10 17:00:00
500208,1038,-37491,USD,card_purchase,2026-05-24 17:39:00,Pret A Manger,7456,2026-08-10 18:00:00
500209,1033,32301,GBP,transfer_in,2025-07-16 08:14:00,,,2026-08-10 16:00:00
500210,1022,-35968,GBP,card_purchase,2025-07-31 12:50:00,TfL,6164,2026-08-10 23:00:00
500211,1068,568,GBP,transfer_in,2026-07-24 21:08:00,,,2026-08-10 17:00:00
500212,1018,-749,GBP,transfer_out,2025-09-22 16:56:00,,,2026-08-10 20:00:00
500213,1065,43846,GBP,transfer_in,2025-12-20 12:57:00,,,2026-08-10 16:00:00
500214,1085,-27107,GBP,card_purchase,2025-12-05 00:00:00,Tesco,5479,2026-08-10 19:00:00
500215,1069,-44323,GBP,direct_debit,2026-03-17 23:28:00,Sainsburys,6145,2026-08-10 22:00:00
500216,1118,-40767,USD,card_purchase,2026-06-22 07:51:00,Deliveroo,6444,2026-08-10 18:00:00
500217,1035,30230,GBP,refund,2026-01-19 21:37:00,Boots,6407,2026-08-10 20:00:00
500218,1039,42741,GBP,refund,2025-08-25 21:19:00,Tesco,5793,2026-08-10 17:00:00
500219,1049,-769,USD,card_purchase,2026-01-29 06:30:00,Spotify,6112,2026-08-10 22:00:00
500220,1064,-6399,GBP,card_purchase,2025-12-31 03:10:00,Deliveroo,5585,2026-08-10 20:00:00
500221,1028,-5022,EUR,card_purchase,2025-08-21 05:30:00,John Lewis,6559,2026-08-10 23:00:00
500222,1023,26252,USD,transfer_in,2026-03-02 23:47:00,,,2026-08-10 22:00:00
500223,1039,25653,GBP,transfer_in,2026-05-19 05:45:00,,,2026-08-10 18:00:00
500224,1050,-5289,EUR,direct_debit,2025-07-20 00:52:00,Deliveroo,6827,2026-08-10 23:00:00
500225,1013,-39810,USD,card_purchase,2025-12-30 16:07:00,Boots,7850,2026-08-10 17:00:00
500226,1100,-29677,EUR,card_purchase,2026-02-24 23:20:00,TfL,6345,2026-08-10 18:00:00
500227,1071,-43447,GBP,transfer_out,2026-01-30 10:49:00,,,2026-08-10 17:00:00
500228,1011,-4967,USD,direct_debit,2025-07-11 04:42:00,Amazon UK,6508,2026-08-10 21:00:00
500229,1049,-20903,USD,transfer_out,2025-08-11 03:51:00,,,2026-08-10 18:00:00
500230,1014,-17829,USD,card_purchase,2026-06-25 23:41:00,Amazon UK,5953,2026-08-10 22:00:00
500231,1024,26891,GBP,transfer_in,2026-01-02 09:25:00,,,2026-08-10 22:00:00
500232,1004,-39343,GBP,card_purchase,2026-06-26 12:25:00,Netflix,6988,2026-08-10 23:00:00
500233,1038,-36819,USD,card_purchase,2026-01-11 11:11:00,Pret A Manger,7753,2026-08-10 21:00:00
500234,1088,-17740,GBP,card_purchase,2026-01-28 18:52:00,TfL,6008,2026-08-10 22:00:00
500235,1022,-5191,GBP,card_purchase,2025-12-31 15:34:00,Netflix,6441,2026-08-10 20:00:00
500236,1093,30156,USD,transfer_in,2025-09-24 08:22:00,,,2026-08-10 22:00:00
500237,1018,-40794,GBP,card_purchase,2026-03-08 23:35:00,Sainsburys,6760,2026-08-10 16:00:00
500238,1043,-21165,GBP,card_purchase,2026-01-02 03:22:00,Boots,6233,2026-08-10 16:00:00
500239,1041,-41627,USD,card_purchase,2026-05-12 11:40:00,TfL,7769,2026-08-10 20:00:00
500240,1042,-24071,GBP,transfer_out,2026-01-30 15:08:00,,,2026-08-10 22:00:00
500241,1120,11941,USD,refund,2025-10-26 17:23:00,John Lewis,7664,2026-08-10 23:00:00
500242,1122,-19242,EUR,card_purchase,2025-08-03 09:15:00,Spotify,5694,2026-08-10 17:00:00
500243,1087,-16709,GBP,card_purchase,2025-11-28 19:20:00,John Lewis,6042,2026-08-10 17:00:00
500244,1102,31557,GBP,refund,2026-01-29 21:32:00,Boots,7052,2026-08-10 17:00:00
500245,1070,-35336,GBP,direct_debit,2026-07-23 12:16:00,Boots,5759,2026-08-10 22:00:00
500246,1099,-42551,GBP,card_purchase,2026-04-05 02:18:00,Boots,5592,2026-08-10 17:00:00
500247,1097,-17106,USD,card_purchase,2026-02-22 10:54:00,Pret A Manger,7502,2026-08-10 20:00:00
500248,1058,-38723,GBP,transfer_out,2026-01-31 11:31:00,,,2026-08-10 21:00:00
500249,1045,-5776,GBP,card_purchase,2026-07-29 08:54:00,Amazon UK,5991,2026-08-10 18:00:00
500250,1040,-31799,GBP,card_purchase,2026-02-16 09:10:00,Netflix,7361,2026-08-10 22:00:00
500251,1057,-19828,GBP,card_purchase,2025-08-06 01:32:00,Tesco,5882,2026-08-10 23:00:00
500252,1109,-10921,GBP,transfer_out,2026-02-16 03:54:00,,,2026-08-10 20:00:00
500253,1067,-28092,GBP,card_purchase,2026-05-13 06:50:00,TfL,6360,2026-08-10 17:00:00
500254,1081,26074,GBP,transfer_in,2026-05-08 18:20:00,,,2026-08-10 23:00:00
500255,1095,25632,USD,transfer_in,2025-09-30 17:32:00,,,2026-08-10 23:00:00
500256,1091,-4250,GBP,transfer_out,2026-04-23 17:43:00,,,2026-08-10 22:00:00
500257,1103,-30136,EUR,card_purchase,2025-11-09 18:37:00,Amazon UK,6485,2026-08-10 16:00:00
500258,1068,-25875,GBP,card_purchase,2025-09-17 13:22:00,Boots,5878,2026-08-10 18:00:00
500259,1046,-19643,EUR,direct_debit,2025-12-19 04:49:00,Boots,7828,2026-08-10 22:00:00
500260,1087,-7814,GBP,card_purchase,2026-06-03 13:53:00,Shell,6940,2026-08-10 21:00:00
500261,1066,-25296,USD,card_purchase,2026-01-24 10:22:00,Sainsburys,6171,2026-08-10 16:00:00
500262,1082,11503,GBP,transfer_in,2025-11-08 01:02:00,,,2026-08-10 21:00:00
500263,1063,-29706,GBP,card_purchase,2026-03-16 19:49:00,Boots,5630,2026-08-10 18:00:00
500264,1122,-25312,EUR,card_purchase,2026-08-06 08:52:00,Deliveroo,7481,2026-08-10 16:00:00
500265,1053,-29238,GBP,transfer_out,2025-08-25 08:34:00,,,2026-08-10 16:00:00
